keywords,Norm,Category
ammonium citrate tribasic,Ammonium citrate,ª∫≥Â ‘º¡
tryptone,tryptone,ÃÌº”º¡
ethanolmethylpentanediol,"2-Methyl-2,4-pentanediol",»•π∏º¡÷¨÷ 
dithiothreitol,DTT,ÃÌº”º¡
ammonium citrate dibasic,ammonium citrate dibasic,—Œ
diammonium phosphate dibasic,(NH4)2HPO4,ª∫≥Â ‘º¡
glycerol ethoxylate,glycerol ethoxylate,ÃÌº”º¡
pentanediol,pentanediol,”–ª˙»‹º¡
sodium succinate,sodium succinate,ª∫≥Â ‘º¡
butanol,butanol,”–ª˙»‹º¡
mops,Mops,ª∫≥Â ‘º¡
sam,S-adenosylmethionine,ÃÌº”º¡
amppnp,AMP-PNP,ÃÌº”º¡
egta,EGTA,ÃÌº”º¡
mmt,MMT,ª∫≥Â ‘º¡
sodium malonate,sodium malonate,ª∫≥Â ‘º¡
jeffamine m600,jeffamine m600,≥¡µÌº¡
sodium iodine,NaI,—Œ
etgly,EtGly,ÃÌº”º¡
potassium thiocyanate,potassium thiocyanate,—Œ
dimethylhexanediol,"2-ethyl-1,3-hexanediol",≥¡µÌº¡
bistris,bistris,ª∫≥Â ‘º¡
bistris propane, Bis-Tris propane,ª∫≥Â ‘º¡
tetrahydrochloride,tetrahydrochloride,
sodium bromide,NaBr,—Œ
potassium iodine,KI,—Œ
peg200,PEG200,≥¡µÌº¡
glucose,glucose,ÃÌº”º¡
sds,SDS,»•π∏º¡
ada,ADA,ª∫≥Â ‘º¡
lcysteine, L-cysteine,ÃÌº”º¡
peg3500,PEG3500,≥¡µÌº¡
putrescine,putrescine,ÃÌº”º¡
cacodylic acid,cacodylic acid,ª∫≥Â ‘º¡
peg300,PEG300,≥¡µÌº¡
diammonium tartrate,diammonium tartrate,ª∫≥Â ‘º¡
ethanol methylpentane,ethanol methylpentane,”–ª˙»‹º¡
deoxybigchap,Deoxy-bigchap,»•π∏º¡
sodium oxamate,Sodium oxamate,ª∫≥Â ‘º¡
cu sulfate,CuSO4,—Œ
acetone,acetone,ÃÌº”º¡
dgalactose,D-Galactose,ÃÌº”º¡
ammonium dihydrogen phosphate,NH4H2PO4 ,ª∫≥Â ‘º¡
potassium scn,KSCN,—Œ
peg3,PEG3,≥¡µÌº¡
dlmalic acid,Malic acid,ª∫≥Â ‘º¡
mn chloride,MnCl2,—Œ
jeffamine,jeffamine,≥¡µÌº¡(precipitant)
mega8,mega-8,»•π∏º¡÷¨÷ 
tmao,TMAO,—Œ
potassium sulfate,K2SO4,—Œ
methylpentanediol,"2-Methyl-2,4-pentanediol",»•π∏º¡÷¨÷ 
pegmme5000,PEGMME5000,≥¡µÌº¡
deg c,,
methyl2,,
hb,,
amp,AMP,ÃÌº”º¡
spermidine,spermidine,ÃÌº”º¡
peptidic ligand,peptidic ligand,ÃÌº”º¡
lithium acetate,lithium acetate,ª∫≥Â ‘º¡
nitrate,,
proline,L-proline,ÃÌº”º¡
capso,CAPSO,ª∫≥Â ‘º¡
dimethyl sulfoxide,DMSO,ÃÌº”º¡
peg400,PEG400,≥¡µÌº¡
betaoctylglucoside,octyl glucoside,ÃÌº”º¡
magnesium acetate,Mg(CH3COO)2,ª∫≥Â ‘º¡
ammonium fluoride,NH4I,ª∫≥Â ‘º¡
glycerol,glycerol,ÃÌº”º¡
trifluoroethanol,Trifluoroethanol,”–ª˙»‹º¡
zinc chloride,ZnCl2,—Œ
zinc acetate,Zinc acetate,ª∫≥Â ‘º¡
peg500,PEG500,≥¡µÌº¡
nadh,NADH,ÃÌº”º¡
vapour diffusion,vapour diffusion,Ω·æß∑Ω∑®
tbutanol,tert-Butanol,”–ª˙»‹º¡
chaps,CHAPS,»•π∏º¡
cetyltrimethylammonium bromide,cetyltrimethylammonium bromide,»•π∏º¡÷¨÷ 
c12e8,C12E8,»•π∏º¡÷¨÷ 
hydrochloride,,
